person_id,canonical_name,language
P0001,Accius Postumius,latin
P0002,Adaeus,greek
P0003,Aemilianus,greek
P0004,Aeschines,greek
P0005,Apaturius,latin
P0006,Albucius Silus,latin
P0007,Antonius Atticus,latin
P0008,Agroitas Massilienis,greek
P0009,Alfius Flauus,latin
P0010,Apollodorus,greek
P0011,Apollonius,greek
P0012,Arbronius Silo,latin
P0013,Arellius Fuscus,latin
P0014,Argentarius,latin
P0015,Asilius Sabinus,latin
P0016,Atticus Vipsanius,latin
P0017,L Arruntius,latin
P0018,Artemon Glycon,greek
P0019,Asinius Pollio,latin
P0020,Attalus,latin
P0021,Aufidius Bassus,latin
P0022,Barbarus,greek
P0023,Blandus,latin
P0024,Buteo,latin
P0025,Brocco,latin
P0026,Bruttedius Niger,latin
P0027,Brutus Bruttedius,latin
P0028,Caius Sallustius Crispus,latin
P0029,Caluus Licinius,latin
P0030,Cassius Seuerus,latin
P0031,C Cassius,latin
P0032,Catius Crispus,latin
P0033,Cestius Pius,latin
P0034,Claudius Marcellus Aeserninus,latin
P0035,Clodius Sabinus,latin
P0036,Clodius Turrinus,latin
P0037,Cornelius Hispanus,latin
P0038,Cornelius Seuerus,latin
P0039,Cornelius Tuscus,latin
P0040,Coruus,latin
P0041,Capito,latin
P0042,Craton,greek
P0043,Crispus,unknown
P0044,Damas Scombrus,greek
P0045,Diocles Carystius,greek
P0046,Dyonisius Filius,greek
P0047,Domitius,latin
P0048,Dorion,greek
P0049,Euctemon,latin
P0050,Fabius Maximus,latin
P0051,Festus,latin
P0052,Florus,latin
P0053,Fuluus Sparsus,latin
P0054,Furius Saturnius,latin
P0055,Gargonius,latin
P0056,Gauius Sabinus,latin
P0057,Gauius Silo,latin
P0058,Glaucippus Cappadox,greek
P0059,Glycon Spyridion,greek
P0060,Gorgias,greek
P0061,Grandaus,greek
P0062,Hermagoras,greek
P0063,Hispo Romanius,latin
P0064,Hybreas,greek
P0065,Iulius Bassus,latin
P0066,Iulius Montanus,latin
P0067,Iulius Sabinus,latin
P0068,Iunius Gallio,latin
P0069,Iunius Otho,latin
P0070,Licinius Nepos,latin
P0071,Laberius,latin
P0072,Labienus,latin
P0073,Lepidus,latin
P0074,Lesbocles,greek
P0075,Licinius Nepos,latin
P0076,L Magius,latin
P0077,Titus Liuius,latin
P0078,Mamilius Nepos,latin
P0079,Marcellus Marcius,latin
P0080,Marullus,latin
P0081,Maximus Stertinius,latin
P0082,Menestratus,greek
P0083,Mento,latin
P0084,Messala Coruinus,latin
P0085,Metrodoro,greek
P0086,Miltiades,greek
P0087,Moderatus,latin
P0088,Murredius,latin
P0089,Nicetes,greek
P0090,Nicocrates Lacon,latin
P0091,Moschus,greek
P0092,Musa,latin
P0093,Oscus,latin
P0094,Quintilianus Senex,latin
P0095,Pacatus,latin
P0096,Pammenes,greek
P0097,Passienus,latin
P0098,Pastor Aietius,latin
P0099,Paternus,latin
P0100,Pomponius,latin
P0101,Porcellus,latin
P0102,Potamon,latin
P0103,Publilius,latin
P0104,P Asprenas,latin
P0105,P Vinicius,latin
P0106,L Vinicius,latin
P0107,L Asprenas,latin
P0108,Papirius Fabianus,latin
P0109,Pompeius Silo,latin
P0110,Porcius Latro,latin
P0111,Plution,greek
P0112,Ouidius,latin
P0113,Q Haterius,latin
P0114,Sabidienus Paulus,latin
P0115,Saturnius Furius,latin
P0116,Scaurus,latin
P0117,Seneca,latin
P0118,Senianus,latin
P0119,Sepullius Bassus,latin
P0120,Sextilius Ena,latin
P0121,Statorius Victor,latin
P0122,Surdinus,latin
P0123,Triarius,latin
P0124,Vallius Syriacus,latin
P0125,Varius Geminus,latin
P0126,T Varro,latin
P0127,Varus Quintilius,latin
P0128,Vibius Rufus,latin
P0129,Vibius Gallus,latin
P0130,Votienus Montanus,latin
P0131,Albinouanus Pedo,latin
P0132,Antiphon,greek
P0133,Apollodorus,greek
P0134,Fabricius,latin
P0135,Theodorus,latin
